color,cylinder,finn_code,first_reg,fuel_type,gear,km,model,model_year,power,price,trans
Rød,"1,4 l",138039745,23.07.2015,Bensin,Automat,52 000 km,Volkswagen Golf,2015,125 Hk,"199 000,-",Forhjulsdrift
Hvit,"1,6 l",138039726,30.01.2015,Bensin,Manuell,78 000 km,Hyundai i40,2015,135 Hk,"169 000,-",Forhjulsdrift
Grå,"2,2 l",138039737,19.06.2013,Diesel,Manuell,99 000 km,Mazda CX-5,2013,150 Hk,"199 000,-",Firehjulsdrift
Grå,"1,6 l",138039692,14.02.2013,Diesel,Manuell,77 000 km,Mazda 5,2013,116 Hk,"169 000,-",Forhjulsdrift
Svart,"1,5 l",138039699,14.12.2015,Bensin,Manuell,25 000 km,Mazda 2,2015,90 Hk,"149 000,-",Forhjulsdrift
Hvit,"2,2 l",138039709,16.06.2015,Diesel,Automat,75 000 km,Mazda CX-5,2015,150 Hk,"319 000,-",Firehjulsdrift
Magnetic,"1,5 l",138039666,29.09.2016,Diesel,Manuell,37 335 km,Ford Mondeo,2016,120 Hk,"279 900,-",Forhjulsdrift
Hvit,"1,6 l",138039644,31.05.2018,Diesel,Manuell,4 000 km,Opel Vivaro,2018,145 Hk,"349 990,-",Forhjulsdrift
Magnetic,"1,5 l",138039587,13.06.2016,Bensin,Automat,56 634 km,Ford Kuga,2016,182 Hk,"339 900,-",Firehjulsdrift
Sovereign Silver,1 l,138039592,22.11.2016,Bensin,Manuell,29 419 km,Opel Astra,2016,105 Hk,"189 000,-",Forhjulsdrift
Grønn,"3,6 l",137557579,04.03.2004,Bensin,Automat,170 000 km,Jaguar XJ,2004,258 Hk,"270 000,-",Bakhjulsdrift
Titanium Grey,2 l,138038708,25/9/2015,Elektrisitet+bensin,Automat,95 200 km,Mitsubishi Outlander,2016,202 Hk,"319 000,-",S-AWC
Blå,1 l,138039454,04.05.2016,Bensin,Manuell,31 890 km,Opel Astra,2016,105 Hk,"169 000,-",Forhjulsdrift
Dyp fiolett (nesten sort),"1,6 l",137556885,20.04.2016,Diesel,Manuell,27 000 km,Nissan Qashqai,2016,131 Hk,"270 000,-",Firehjulsdrift
Grå,2 l,138039419,21.03.2011,Diesel,Automat,132 000 km,Opel Insignia,2011,160 Hk,"164 990,-",Firehjulsdrift
Magnetic Grey,2 l,138039409,06.06.2018,Diesel,Automat,17 538 km,Ford Kuga,2018,179 Hk,"519 900,-",Firehjulsdrift
Hvit,,138039420,18.08.2016,Bensin,Manuell,32 015 km,Kia Cee'd,2016,100 Hk,"179 900,-",Forhjulsdrift
Brun Mokaha met.,"1,6 l",138039383,29.04.2014,Diesel,Automat,59 500 km,Peugeot 2008,2014,93 Hk,"135 000,-",Forhjulsdrift
Svart,"1,6 l",138039375,15.02.2007,Diesel,Manuell,124 504 km,Peugeot 207,2007,90 Hk,"44 900,-",Forhjulsdrift
Sølv,1 598 l,138034359,02.05.2001,Bensin,Manuell,215 000 km,Volkswagen Golf,2001,105 Hk,"19 618,-",Forhjulsdrift
Svart,"1,4 l",133276770,20.10.2009,Bensin,Automat,93 437 km,Volkswagen Scirocco,2010,205 Hk,"135 000,-",Forhjulsdrift
Race Red,1 l,138039314,29.07.2016,Bensin,Manuell,46 968 km,Ford Focus,2016,125 Hk,"189 900,-",Forhjulsdrift
Svart,,85592351,,Diesel,Manuell,180 000 km,Mercedes-Benz C-Klasse,2010,,"133 588,-",Bakhjulsdrift
Sølv,"2,5 l",138039141,07.11.2011,Diesel,Manuell,124 613 km,Toyota HiAce,2012,117 Hk,"215 019,-",Firehjulsdrift
Polo Cross Eu-Godkjent til 31.10.2020,"1,4 l",138019326,11.03.2008,Diesel,Manuell,167 000 km,Volkswagen Polo,2008,69 Hk,"42 656,-",Forhjulsdrift
Sort met,"2,5 l",138039092,14.12.2011,Diesel,Manuell,113 132 km,Toyota HiAce,2012,117 Hk,"219 000,-",Firehjulsdrift
Rød,"1,4 l",138038527,2013,Bensin,Automat,98 200 km,Hyundai i20,2013,99 Hk,"91 696,-",Forhjulsdrift
DEEP BLACK PERLMET.,2 l,138039031,12.08.2015,Diesel,Automat,101 319 km,Volkswagen Passat,2016,190 Hk,"359 990,-",Firehjulsdrift
Tenorite Grey,,138038963,2015,Diesel,Automat,55 000 km,Mercedes-Benz GLC,2016,204 Hk,"529 000,-",Firehjulsdrift
Mineralwhite metalic,,138038941,2017,Elektrisitet+bensin,Automat,24 000 km,BMW X5,2017,313 Hk,"685 000,-",Firehjulsdrift
Sølv,"1,3 l",137851750,01.11.2004,Bensin,Manuell,91 000 km,Subaru Justy,2004,92 Hk,"25 000,-",Firehjulsdrift
Sølv,"2,2 l",138038846,13.07.2006,Diesel,Manuell,256 000 km,Nissan X-Trail,2006,136 Hk,"49 000,-",Firehjulsdrift
Hvit,2 477 l,138033714,21.09.1994,Diesel,Manuell,181 600 km,Mitsubishi Pajero,1994,99 Hk,"36 500,-",Firehjulsdrift
Grå,2 l,138033790,28.03.2012,Diesel,Manuell,106 000 km,Opel Vivaro,2012,114 Hk,"70 000,-",Forhjulsdrift
Hvit,2 l,138038716,28.10.2014,Diesel,Automat,66 000 km,Volkswagen Amarok,2015,179 Hk,"319 000,-",Firehjulsdrift
Rød,"1,7 l",138038682,29.04.2016,Diesel,Manuell,52 000 km,Hyundai Tucson,2016,116 Hk,"239 000,-",Forhjulsdrift
Hvit,"1,7 l",138038677,30.03.2016,Diesel,Manuell,66 000 km,Hyundai Tucson,2016,116 Hk,"229 000,-",Forhjulsdrift
Svart,2 l,138038651,03.01.2014,Diesel,Automat,94 000 km,Volkswagen Passat Alltrack,2014,177 Hk,"289 000,-",Firehjulsdrift
Grå,"2,5 l",138038649,02.03.2011,Diesel,Manuell,107 500 km,Toyota HiLux,2011,144 Hk,"199 000,-",Firehjulsdrift
Grå,"2,8 l",138038544,,Diesel,Automat,73 833 km,Chrysler Grand Voyager,2010,163 Hk,"80 775,-",Bakhjulsdrift
REFLEXSØLV MET.,2 l,138038594,30.12.2015,Diesel,Manuell,44 350 km,Volkswagen Amarok,2016,140 Hk,"269 000,-",Firehjulsdrift
Hvit,"1,6 l",138038585,31.07.2014,Diesel,Manuell,31 000 km,Volkswagen Caddy,2015,75 Hk,"129 000,-",Forhjulsdrift
Hvit,2 l,138038555,27.10.2015,Diesel,Manuell,80 500 km,Volkswagen Transporter,2016,150 Hk,"279 000,-",Firehjulsdrift
Grå,"1,2 l",138038542,29.06.2018,Bensin,Automat,7 355 km,Opel Grandland X,2018,131 Hk,"377 000,-",Forhjulsdrift
Sølv,"2,5 l",138033560,05.01.2004,Diesel,Manuell,185 000 km,Toyota HiAce,2004,102 Hk,"61 079,-",Firehjulsdrift
Blue Mica metallic,1 497 l,121961368,12.09.2013,Bensin,Automat,61 000 km,Toyota Yaris,2013,100 Hk,"119 999,-",Forhjulsdrift
Svart,"1,6 l",138032424,14.03.2013,Diesel,Manuell,72 000 km,Skoda Octavia,2013,105 Hk,"148 775,-",Firehjulsdrift
Sort,3 l,138038447,27.06.2014,Diesel,Automat,160 000 km,Mercedes-Benz E-Klasse,2014,252 Hk,"489 000,-",Firehjulsdrift
Obsidiansort metallic,2 l,138038419,07.06.2017,Diesel,Automat,27 000 km,Mercedes-Benz E-klasse All-Terrain,2017,194 Hk,"759 000,-",Firehjulsdrift
Irridiumsølv metallic,"2,2 l",138038392,25.10.2010,Diesel,Automat,222 000 km,Mercedes-Benz E-Klasse,2011,170 Hk,"219 000,-",Bakhjulsdrift
Grå,1 l,138038122,09.01.2017,Bensin,Manuell,45 950 km,Hyundai i10,2017,67 Hk,"127 000,-",Forhjulsdrift
Svart,1 l,130263381,15.03.2015,Bensin,Manuell,32 276 km,Ford Fiesta,2015,140 Hk,"144 037,-",Forhjulsdrift
SORTMETLLIC,2 l,138038066,,Diesel,Manuell,102 000 km,Opel Insignia,2011,110 Hk,"139 000,-",Forhjulsdrift
SILVER LAKE,2 l,138038021,,Diesel,Automat,45 600 km,Opel Insignia,2013,131 Hk,"229 000,-",Forhjulsdrift
Svart,"1,6 l",138038011,29.05.2018,Bensin,Automat,6 300 km,Peugeot 3008,2018,165 Hk,"469 900,-",Forhjulsdrift
GRÅ METTALIC,"1,7 l",138037968,,Diesel,Manuell,64 500 km,Opel Astra,2011,110 Hk,"129 000,-",Forhjulsdrift
Rød,"2,5 l",138033320,25.03.1998,Diesel,Manuell,319 498 km,Volkswagen Transporter,1998,102 Hk,"21 500,-",Forhjulsdrift
Dark Micastone,"1,4 l",138037970,30.11.2010,Diesel,Manuell,78 334 km,Ford Fiesta,2011,69 Hk,"89 900,-",Forhjulsdrift
Grønn,"1,9 l",138037783,,Diesel,Manuell,117 981 km,Volkswagen Transporter,2008,102 Hk,"64 775,-",Forhjulsdrift
GRÅ METTALIC,2 l,138037546,,Diesel,Manuell,98 300 km,Opel Insignia,2009,131 Hk,"119 000,-",Forhjulsdrift
Svart,2 149 l,135844099,01.02.2007,Diesel,Automat,292 105 km,Mercedes-Benz E-Klasse,2007,170 Hk,"59 719,-",Bakhjulsdrift
Rød,1 599 l,138037680,,Bensin,Manuell,86 291 km,Ford,1970,68 Hk,"18 000,-",Bakhjulsdrift
Hvit Metallic,"3,5 l",138037605,,Bensin,Automat,39 000 km,Ford F-serie,2017,450 Hk,"899 000,-",Firehjulsdrift
Rød,"1,6 l",138037503,24.03.2010,Diesel,Manuell,95 000 km,Citroen Berlingo,2010,75 Hk,"65 700,-",Forhjulsdrift
Reflexsilver metallic,,137654122,30.09.2018,Elektrisitet,Automat,11 700 km,Volkswagen Golf,2019,136 Hk,"339 000,-",Forhjulsdrift
Hvit,"1,6 l",138037339,11.10.2012,Diesel,Manuell,174 000 km,Volvo V70,2013,114 Hk,"138 700,-",Forhjulsdrift
Selenite Grå,"2,1 l",138037322,08.05.2018,Diesel,Automat,18 248 km,Mercedes-Benz GLC,2018,204 Hk,"690 000,-",Firehjulsdrift
Beige,"1,6 l",138037309,16.01.2013,Diesel,Manuell,96 900 km,Skoda Octavia,2013,105 Hk,"157 900,-",Firehjulsdrift
Svart,2 l,138037324,14.06.2013,Diesel,Automat,90 800 km,Volvo V70,2014,136 Hk,"279 900,-",Forhjulsdrift
Sølv,"2,5 l",138037319,29.04.2014,Bensin,Automat,58 000 km,Subaru Outback,2013,173 Hk,"274 900,-",Firehjulsdrift
Brun,1 l,138037263,06.05.2013,Bensin,Manuell,89 500 km,Peugeot 208,2013,68 Hk,"74 900,-",Forhjulsdrift
Grå,"1,6 l",138037270,27.04.2010,Diesel,Manuell,167 000 km,Peugeot 407,2010,109 Hk,"49 900,-",Forhjulsdrift
Hvit,2 l,138037258,04.01.2013,Diesel,Manuell,82 000 km,Opel Insignia,2013,110 Hk,"144 900,-",Forhjulsdrift
Spring Cload Metallic,,137900435,17.04.2018,Elektrisitet,Automat,4 990 km,Nissan Leaf,2018,150 Hk,"298 000,-",Forhjulstrekk
Svart,2 l,138032765,01.06.2015,Diesel,Automat,131 053 km,Volvo XC 60,2016,190 Hk,"333 775,-",Forhjulsdrift
Hvit,"1,6 l",138037250,08.07.2015,Diesel,Manuell,59 900 km,Nissan X-Trail,2015,131 Hk,"299 900,-",Firehjulsdrift
Mørk blå metallic,"1,8 l",138037248,29.09.2009,Bensin,Manuell,120 000 km,Audi A4,2010,160 Hk,"148 000,-",Firehjulsdrift
Blå,"1,9 l",138032196,,Diesel,Manuell,169 800 km,Volkswagen Caravelle,2006,105 Hk,"119 594,-",Forhjulsdrift
Hvit,"1,6 l",138037230,08.05.2018,Diesel,Manuell,8 830 km,Mercedes-Benz Vito,2018,114 Hk,"309 900,-",Bakhjulsdrift
Svart,"3,2 l",138037120,25.10.2016,Diesel,Automat,48 000 km,Mitsubishi Pajero,2016,200 Hk,"389 900,-",Firehjulsdrift
Sølv,"1,2 l",138037133,27.04.2017,Bensin,Manuell,3 500 km,Mitsubishi Space Star,2017,80 Hk,"149 900,-",Forhjulsdrift
Sølv,"3,2 l",138037114,23.04.2018,Diesel,Automat,9 500 km,Mitsubishi Pajero,2018,190 Hk,"489 900,-",Firehjulsdrift
Hvit,2 l,138037100,16.02.2016,Elektrisitet+bensin,Automat,37 000 km,Mitsubishi Outlander,2016,121 Hk,"349 900,-",Firehjulsdrift
Hvit,2 l,138037110,06.08.2014,Elektrisitet+bensin,Automat,99 911 km,Mitsubishi Outlander,2014,121 Hk,"244 900,-",Firehjulsdrift
Sølv,2 l,138037105,14.03.2014,Elektrisitet+bensin,Automat,76 000 km,Mitsubishi Outlander,2014,121 Hk,"259 900,-",Firehjulsdrift
Svart,"2,3 l",138037094,19.01.2017,Diesel,Automat,37 000 km,Mitsubishi Outlander,2017,150 Hk,"429 900,-",Firehjulsdrift
Oransje,"1,7 l",138037078,25.07.2013,Diesel,Manuell,87 000 km,Kia Sportage,2013,116 Hk,"144 900,-",Forhjulsdrift
Svart,3 l,138037085,31.08.2009,Bensin,Automat,30 700 km,Mercedes-Benz SL,2010,231 Hk,"489 900,-",Bakhjulsdrift
Svart,"1,6 l",138037051,28.02.2008,Diesel,Automat,211 500 km,Citroen Grand C4 Picasso,2008,109 Hk,"29 900,-",Forhjulsdrift
Rød,1 l,138037071,20.04.2016,Bensin,Manuell,49 500 km,Hyundai i20,2016,99 Hk,"134 900,-",Forhjulsdrift
Grå,2 l,138037058,28.04.2017,Diesel,Manuell,25 000 km,Citroen Jumpy,2017,150 Hk,"289 900,-",Forhjulsdrift
Rød,1 l,138037065,28.03.2017,Bensin,Manuell,5 700 km,Honda Civic,2017,129 Hk,"279 900,-",Forhjulsdrift
Sølv,"1,6 l",138036989,30.05.2018,Diesel,Manuell,12 000 km,Citroen Berlingo,2018,99 Hk,"179 900,-",Forhjulsdrift
Hvit,"1,2 l",138037036,04.04.2018,Bensin,Automat,6 900 km,Citroen C3 Aircross,2018,110 Hk,"274 900,-",Forhjulsdrift
Grå,"1,6 l",138037044,11.03.2014,Diesel,Automat,139 849 km,Citroen C4 Picasso,2014,116 Hk,"174 900,-",Forhjulsdrift
Rød,"1,2 l",138037003,01.08.2017,Bensin,Automat,12 600 km,Citroen C3,2017,110 Hk,"189 900,-",Forhjulsdrift
Grå metallic,3 l,138029134,01.07.2010,Diesel,Automat,172 000 km,Land Rover Discovery,2010,245 Hk,"364 775,-",4 hjulstrekk
Svart,"1,5 l",134642477,11.05.2010,Diesel,Manuell,109 927 km,Nissan Qashqai,2010,106 Hk,"83 719,-",Forhjulsdrift
Brun,2 l,138036983,20.09.2010,Diesel,Automat,121 800 km,BMW X1,2010,136 Hk,"139 900,-",Firehjulsdrift
Grå,3 l,138036961,25.11.2016,Diesel,Automat,54 100 km,BMW 5-serie,2017,258 Hk,"619 900,-",Firehjulsdrift
Grå,,138032939,06.05.2014,Elektrisitet,Automat,49 671 km,Nissan Leaf,2014,109 Hk,"149 000,-",Forhjulsdrift
Sølv,,134160203,14.07.2014,Elektrisitet,Automat,47 000 km,Volkswagen Golf,2015,115 Hk,"205 000,-",Forhjulsdrift
Sølv,"1,7 l",138036757,,Bensin,Manuell,110 000 km,Citroen C5,2003,116 Hk,"21 618,-",Forhjulsdrift
Hvit,2 l,137788663,13.04.2005,Diesel,Manuell,299 000 km,Volkswagen Caddy,2005,69 Hk,"11 079,-",Forhjulsdrift
Grønn,"1,6 l",134082760,03.06.1997,Bensin,Manuell,126 000 km,Opel Astra,1997,101 Hk,"8 594,-",Forhjulsdrift
Sølv metallic,"2,1 l",138036599,19.10.2010,Diesel,Automat,44 510 km,Mercedes-Benz E-Klasse,2011,136 Hk,"229 000,-",Bakhjulsdrift
Grå,"1,6 l",138032611,02.11.2005,Bensin,Manuell,135 446 km,Volkswagen Golf,2006,102 Hk,"33 618,-",Forhjulsdrift
Le Mans Blue Metallic,"6,1 l",138012255,01.01.1958,Bensin,Automat,123 456 km,Oldsmobile,1958,265 Hk,"210 000,-",Bakhjulsdrift
White silver,0 l,138036499,23.05.2018,Elektrisitet,,5 000 km,Volkswagen Golf,2018,136 Hk,"365 000,-",
Cajun Red Tintcoat Metallic,,138036453,28.10.2016,Elektrisitet,Automat,4 800 km,Chevrolet Bolt,2017,204 Hk,"354 000,-",Forhjulsdrift
Onyx black Metallic 717,"2,4 l",138036449,12.12.2016,Diesel,Automat,41 008 km,Volvo V60 Cross Country,2017,190 Hk,"509 900,-",Firehjulsdrift
sølv metallikk,"1,1 l",138036263,,Bensin,Manuell,131 000 km,Renault Clio,2004,58 Hk,"16 618,-",Forhjulsdrift
Hvit med elektrisk grønn metallic,0 l,138036346,,Elektrisitet,Automat,2 500 km,Smart Fortwo coupe,2018,82 Hk,"179 000,-",Bakhjulsdrift
Caesium blå metallic,0 l,138036268,,Elektrisitet,Automat,500 km,Jaguar I-PACE,2019,400 Hk,"845 000,-",Firehjulsdrift
Electric silver Met. 477,"2,4 l",138036265,01.11.2013,Diesel,Automat,141 409 km,Volvo XC 60,2014,163 Hk,"359 900,-",Firehjulsdrift
Sølv,2 226 l,138032514,22.03.1999,Bensin,Manuell,258 000 km,Audi 100,1992,169 Hk,"30 000,-",Firehjulsdrift
Blå,"2,9 l",124502782,04.11.1998,Diesel,Automat,38 000 km,Mercedes-Benz Sprinter,1998,122 Hk,"51 063,-",Bakhjulsdrift
Artic Blue Metalikk,,138035783,04.01.2017,Elektrisitet,Automat,2 100 km,Chevrolet Bolt,2017,204 Hk,"334 000,-",Forhjulsdrift
Kinetic Blue Metalikk,,138035738,16.11.2016,Elektrisitet,Automat,11 200 km,Chevrolet Bolt,2017,204 Hk,"324 000,-",Forhjulsdrift
Candyhvit,2 l,138035369,05.12.2012,Diesel,Automat,90 600 km,Volkswagen Transporter,2013,180 Hk,"234 000,-",Firehjulsdrift
Svart med S-Line eksteriørpakke,"1,8 l",138035197,13.03.2015,Bensin,Automat,86 600 km,Audi A4,2015,120 Hk,"269 900,-",Forhjulsdrift
Sølv,1 332 l,138031444,24.08.1998,Bensin,Manuell,205 553 km,Toyota Corolla,1998,86 Hk,"12 500,-",Forhjulsdrift
met,"1,2 l",138032008,17.04.2002,Bensin,Manuell,165 000 km,Volkswagen Polo,2002,64 Hk,"15 700,-",Forhjulsdrift
Sølv Metalikk,"1,6 l",138034984,22.09.2015,Diesel,Automat,126 100 km,Skoda Octavia,2016,110 Hk,"214 900,-",Forhjulsdrift
Black Magic Perlemor Metalikk,"1,8 l",138034890,12.08.2015,Bensin,Automat,149 900 km,Skoda Octavia Scout,2016,180 Hk,"278 000,-",Firehjulsdrift
Black Magic Perlemor Metalikk,"1,8 l",138034870,12.08.2015,Bensin,Automat,149 900 km,Skoda Octavia,2016,180 Hk,"278 000,-",Firehjulsdrift
Black Magic Perlemor Metalikk,2 l,138034764,21.05.2015,Diesel,Automat,162 700 km,Skoda Octavia,2015,184 Hk,"249 900,-",Firehjulsdrift
Candyhvit,2 l,138034748,24.05.2013,Diesel,Automat,138 400 km,Volkswagen Passat,2013,170 Hk,"208 900,-",Firehjulsdrift
Sølv,2 401 l,138031538,16.03.2006,Diesel,Automat,325 000 km,Volvo V70,2002,163 Hk,"16 618,-",Forhjulsdrift
Sophistogrå Metalikk,3 l,138034672,09.02.2009,Diesel,Automat,97 300 km,BMW 7-serie,2009,245 Hk,"328 000,-",Bakhjulsdrift
Blå,"1,6 l",138034537,01.07.2010,Diesel,Manuell,76 016 km,Volkswagen Golf,2010,90 Hk,"79 719,-",Forhjulsdrift
Grå,"1,6 l",138034497,31.08.2010,Diesel,Manuell,193 585 km,Ford Focus,2010,90 Hk,"19 775,-",Forhjulsdrift
Sølv,"2,9 l",138031239,09.06.2005,Diesel,Automat,352 000 km,BMW 5-serie,2001,193 Hk,"46 618,-",Bakhjulsdrift
Blå,"2,4 l",137779207,02.03.1999,Bensin,Automat,194 400 km,Audi A6,1999,165 Hk,"20 000,-",Firehjulsdrift
Svart,1 995 l,138031070,18.03.2013,Diesel,Automat,130 000 km,BMW 5-serie,2012,184 Hk,"283 775,-",Bakhjulsdrift
Svart,"1,9 l",138030058,04.12.2007,Diesel,Automat,193 190 km,Alfa Romeo 159,2007,150 Hk,"69 618,-",Forhjulsdrift
SOPHISTOGRAU BRILLANTEFFEKT METALLI (A90),3 l,138030912,25.02.2015,Diesel,Automat,127 000 km,BMW 5-serie,2015,258 Hk,"499 999,-",xDrive
Grå,1 896 l,138030739,15.01.2008,Diesel,Automat,241 604 km,Volkswagen Caddy,2008,105 Hk,"50 294,-",Forhjulsdrift
Sølv,2 l,137747845,07.08.2001,Bensin,Automat,173 000 km,Honda CR-V,2001,147 Hk,"39 000,-",Firehjulsdrift
Sølv,1 798 l,118216237,23.09.2010,Bensin,Automat,45 000 km,Toyota Auris,2010,100 Hk,"118 719,-",Forhjulsdrift
Sølv,"2,5 l",138032994,12.09.2012,Diesel,Manuell,135 000 km,Toyota HiLux,2012,144 Hk,"239 000,-",Firehjulsdrift
Svart,2 l,138032144,28.02.2008,Diesel,Automat,171 000 km,BMW X3,2008,177 Hk,"109 900,-",4WD
Grå,"1,9 l",138029587,18.07.2007,Diesel,Manuell,169 500 km,Volkswagen Touran,2007,105 Hk,"47 618,-",Forhjulsdrift
Titanium Flash,"2,2 l",138029265,06.01.2015,Diesel,Automat,91 000 km,Mazda 3,2015,150 Hk,"179 900,-",Forhjulsdrift
Grey metalic,0 l,138032876,,Elektrisitet,Automat,15 km,Volkswagen Golf,2019,136 Hk,"2 320,-",Forhjulsdrift
Svart,"2,1 l",138027428,28.11.2006,Diesel,Automat,353 000 km,Mercedes-Benz Vito,2006,150 Hk,"59 990,-",Bakhjulsdrift
Grå,,138029538,07.10.2018,Elektrisitet,Automat,4 000 km,Nissan Leaf,2018,150 Hk,"315 000,-",Forhjulsdrift
Svart,1 364 l,137784278,15.11.2010,Diesel,Manuell,120 000 km,Toyota Urban Cruiser,2010,90 Hk,"108 500,-",Firehjulsdrift
Blå,998 l,131370116,28.02.2016,Bensin,Manuell,73 500 km,Morris Mini,1970,,"101 494,-",Forhjulsdrift
Sølv,3 l,138032731,01.07.2011,Diesel,Automat,260 723 km,Nissan Pathfinder,2011,231 Hk,"196 294,-",Firehjulsdrift
Metallic,,138032729,02.11.2010,Diesel,Automat,38 900 km,Mercedes-Benz E-Klasse,2011,136 Hk,"239 000,-",Bakhjulsdrift
Svart,2 l,138028011,03.07.2002,Bensin,Manuell,168 000 km,Subaru Forester,2002,125 Hk,"16 584,-",4WD
Svart,2 l,138028456,26.07.2006,Bensin,Manuell,202 000 km,Honda CR-V,2006,150 Hk,"46 618,-",Firehjulsdrift
Svart,2 l,130896113,10.04.2012,Diesel,Manuell,125 000 km,Audi A4,2013,120 Hk,"169 719,-",Forhjulsdrift
Blå,,138027018,26.08.2015,Elektrisitet,Automat,25 705 km,Nissan Leaf,2012,109 Hk,"109 695,-",Forhjulsdrift
Sølv,2 148 l,138028648,25.03.2003,Diesel,Automat,450 000 km,Mercedes-Benz E-Klasse,2003,150 Hk,"30 618,-",Bakhjulsdrift
Sølv,"2,5 l",138032212,29.11.2007,Diesel,Manuell,249 067 km,Toyota HiLux,2007,120 Hk,"153 775,-",Firehjulsdrift
Hvit Metallic,1 998 l,137695122,20.06.2017,Elektrisitet+bensin,Automat,29 000 km,Mitsubishi Outlander,2017,202 Hk,"4 758,-",Firehjulsdrift
Brun,,138029735,20.10.2016,Elektrisitet,Automat,85 000 km,Tesla Model X,2016,,"699 000,-",Firehjulsdrift
Svart,"1,2 l",109384593,02.03.2004,Bensin,Manuell,142 000 km,Volkswagen Polo,2004,64 Hk,"19 569,-",Forhjulsdrift
BLACK MAGIC PERLE,"1,6 l",138031389,21.05.2014,Diesel,Automat,74 474 km,Skoda Superb,2014,105 Hk,"219 800,-",Forhjulsdrift
Svart,"2,5 l",87331207,30.09.2008,Diesel,Automat,240 000 km,BMW 5-serie,2004,177 Hk,"71 500,-",Bakhjulsdrift
Svart,3 123 l,134969611,26.12.2006,Bensin,Automat,150 000 km,Audi A6 allroad,2007,256 Hk,"159 594,-",Firehjulsdrift
MOON WHITE MET,2 l,138031376,30.11.2015,Diesel,Automat,59 993 km,Skoda Superb,2016,150 Hk,"299 800,-",Forhjulsdrift
Grå,2 l,138031021,2009,Diesel,Automat,97 000 km,Opel Insignia,2009,131 Hk,"82 775,-",Forhjulsdrift
Hvit,"1,4 l",138022529,19.08.2015,Elektrisitet+bensin,Automat,53 000 km,Volkswagen Golf,2016,204 Hk,"246 000,-",Forhjulsdrift
Rød,"1,5 l",137922371,02.01.2013,Diesel,Manuell,90 033 km,Mercedes-Benz A-Klasse,2013,109 Hk,"165 000,-",Forhjulsdrift
Gråblå metallic,1 969 l,135670829,29.01.2015,Diesel,Manuell,98 370 km,Volvo V60,2015,181 Hk,"246 161,-",FWD
Grønn,2 l,138027618,22.08.1997,Bensin,Manuell,248 210 km,Kia Sportage,1997,128 Hk,"6 618,-",Firehjulsdrift
Grå,"2,4 l",138030515,12.2006,Diesel,Automat,184 000 km,Volvo XC 90,2007,185 Hk,"169 618,-",Firehjulsdrift
Svart,3 l,124269074,01.11.2010,Diesel,Automat,92 142 km,BMW X6,2010,245 Hk,"368 900,-",xDrive
Brun,1 598 l,134360943,08.07.2014,Diesel,Manuell,46 000 km,Nissan Qashqai,2014,131 Hk,"239 719,-",Firehjulsdrift
Svart,3 l,124905827,02.08.2010,Diesel,Automat,218 500 km,BMW 7-serie,2009,245 Hk,"268 719,-",Bakhjulsdrift
Metallic Koks Grå,"1,7 l",122761385,25.04.2017,Diesel,Automat,23 000 km,Hyundai Tucson,2017,141 Hk,"359 000,-",Forhjulsdrift
Grå,2 835 l,132353761,29.10.1997,Diesel,Manuell,218 000 km,Mitsubishi Pajero,1998,125 Hk,"31 594,-",Firehjulsdrift
METALLIC,2 l,138029407,,Diesel,Manuell,175 000 km,Volkswagen Transporter,2011,140 Hk,"115 000,-",Firehjulsdrift
Svart,2 l,138018387,21.02.2007,Bensin,Manuell,61 000 km,Nissan 200 SX,1998,,"199 618,-",Bakhjulsdrift
Grå,1 598 l,130991481,19.03.2014,Diesel,Manuell,101 500 km,Nissan Qashqai,2014,131 Hk,"208 719,-",Firehjulsdrift
Sjøgrønn,"1,8 l",138028562,29.03.2000,Bensin,Manuell,205 000 km,Volkswagen Passat,2000,125 Hk,"12 900,-",Forhjulsdrift
Grå,1 560 l,138026392,12.03.2009,Diesel,Manuell,128 000 km,Peugeot Partner,2009,90 Hk,"59 975,-",Forhjulsdrift
Midnight Purple,,134739835,,Bensin,Manuell,112 300 km,Nissan Skyline,1995,,"366 594,-",Firehjulsdrift
Svart,"1,2 l",138025079,20.12.2006,Diesel,Automat,153 600 km,Opel Combo,2007,75 Hk,"36 079,-",Forhjulsdrift
Rød,"1,4 l",132815800,30.03.2006,Bensin,Manuell,193 500 km,Volkswagen Golf,2006,170 Hk,"39 990,-",Forhjulsdrift
Grå,"5,3 l",138025318,27.09.2000,Bensin,Automat,266 126 km,Chevrolet Tahoe,2000,273 Hk,"59 000,-",Firehjulsdrift
Grå,1 798 l,128211078,19.07.2010,Bensin,Automat,79 000 km,Audi A4,2011,120 Hk,"85 000,-",Forhjulsdrift
Gul,2 401 l,138024475,09.07.2007,Diesel,Manuell,210 000 km,Volvo V70,2006,185 Hk,"49 999,-",Forhjulsdrift
Metallic,3 200 l,138023290,15.01.2015,Diesel,Automat,64 834 km,Mitsubishi Pajero,2015,200 Hk,"339 994,-",Firehjulsdrift
Svarte skinnseter,,132771575,14.12.2015,Elektrisitet,Automat,91 000 km,Tesla Model S,2015,332 Hk,"525 000,-",Firehjulsdrift
Svart,"1,6 l",137991049,16.12.2010,Diesel,Manuell,163 996 km,Citroen Berlingo,2010,90 Hk,"53 000,-",Forhjulsdrift
